INFLUENCER,BRAND,POST_COUNT
titantyra,azarinecosmeticofficial,1
titantyra,glossier,1
titantyra,hayejin_indonesia,1
titantyra,naturbeautyid,1
titantyra,scarlett_whitening,2
titantyra,secondatebeauty,7
titantyra,somethincofficial,2
molita_lin,avoskinbeauty,1
molita_lin,beautyganics.id,1
molita_lin,clarinsid,1
molita_lin,commonlabs.id,1
molita_lin,gentlehourofficial,2
molita_lin,graceandglow.id,2
molita_lin,lamerindonesia,1
molita_lin,lasikindonesia,1
molita_lin,makeoverid,2
molita_lin,npureofficial,1
molita_lin,somethincofficial,1
catherinesumitri,avoskinbeauty,1
catherinesumitri,biobeautylab,1
catherinesumitri,callathelabel,1
catherinesumitri,diorbeauty,1
catherinesumitri,elemis_id,1
catherinesumitri,gentlehourofficial,1
catherinesumitri,guele.id,2
catherinesumitri,lancomeofficial,2
catherinesumitri,makeoverid,1
catherinesumitri,purelotus.id,2
catherinesumitri,shuuemura,1
catherinesumitri,studiotropik,1
catherinesumitri,yslbeauty,2
puchh,avoskinbeauty,1
puchh,clarinsid,1
puchh,freshbeauty,1
puchh,imfrom_id,2
puchh,kiehlsid,2
puchh,koreanaestheticskincare_id,2
puchh,lamerindonesia,2
puchh,lancomeofficial,1
puchh,official.cre,1
puchh,skintheorybeauty,1
puchh,thefaceshopid,1
puchh,yslbeauty,1
fathinrm,artisanpro,1
fathinrm,commonlabs.id,1
fathinrm,eminacosmetics,2
fathinrm,erha_acneact,2
fathinrm,erha_truwhite,1
fathinrm,maccosmeticsid,3
fathinrm,makeoverid,5
fathinrm,maybelline,1
fathinrm,myinstaperfect,3
fathinrm,noerabeautycare,1
fathinrm,reveline.official,1
fathinrm,roceo.id,1
fathinrm,roseallday.co,1
fathinrm,scarlett_whitening,2
fathinrm,wardahbeauty,7
fathinrm,youbeauty_idn,2
ludovicajessica,biobeautylab,4
ludovicajessica,blpbeauty,1
ludovicajessica,bobbibrownid,1
ludovicajessica,dalba_indonesia,1
ludovicajessica,dearmebeauty,1
ludovicajessica,diorbeauty,1
ludovicajessica,eminacosmetics,2
ludovicajessica,makeoverid,5
ludovicajessica,makeupbymario,2
ludovicajessica,maybelline,1
ludovicajessica,myinstaperfect,1
ludovicajessica,nablacosmetics,1
ludovicajessica,narsissist,2
ludovicajessica,npureofficial,1
ludovicajessica,secondatebeauty,1
ludovicajessica,shiseido_indonesia,1
ludovicajessica,somethincofficial,7
ludovicajessica,studiotropik,1
ludovicajessica,trueve.id,3
ludovicajessica,whitelab_id,1
ludovicajessica,youbeauty_idn,1
henyharun,avoskinbeauty,2
henyharun,blpskin,2
henyharun,bobbibrownid,1
henyharun,carasun.id,1
henyharun,esteelauderid,2
henyharun,kiehlsid,1
henyharun,laboreskinexpert,2
henyharun,lamerindonesia,2
henyharun,somethincofficial,6
henyharun,studiotropik,2
henyharun,whitelab_id,1
henyharun,yslbeauty,1
sarahayuh_,anastasiabeverlyhills,2
sarahayuh_,barenbliss_id,2
sarahayuh_,clio_official,2
sarahayuh_,colorgram.official,2
sarahayuh_,colourpopcosmetics,3
sarahayuh_,diorbeauty,2
sarahayuh_,esqacosmetics,1
sarahayuh_,givenchybeauty,1
sarahayuh_,indonesia_etudehouse,1
sarahayuh_,jsmbeauty_,1
sarahayuh_,laneigeid,1
sarahayuh_,lorecaofficial,1
sarahayuh_,maccosmeticsid,1
sarahayuh_,madformakeup.co,3
sarahayuh_,maybelline,1
sarahayuh_,noerabeautycare,1
sarahayuh_,officialhanasui,1
sarahayuh_,peripera.id,1
sarahayuh_,roseallday.co,1
sarahayuh_,scarlett_whitening,1
sarahayuh_,secondatebeauty,1
sarahayuh_,somethincofficial,4
sarahayuh_,studiotropik,1
sarahayuh_,urbandecaycosmetics,1
tasyafarasya,azarinecosmeticofficial,1
tasyafarasya,azzuracosmetics.id,1
tasyafarasya,berlalabeauty,1
tasyafarasya,biobeautylab,1
tasyafarasya,crystallurebeauty,1
tasyafarasya,eminacosmetics,1
tasyafarasya,garnierindonesia,3
tasyafarasya,lipice_id,2
tasyafarasya,maccosmeticsid,2
tasyafarasya,makeoverid,2
tasyafarasya,mop.beauty,2
tasyafarasya,npureofficial,1
tasyafarasya,plouise_makeup_academy,1
tasyafarasya,qvskincareid,4
tasyafarasya,rojukiss_id,1
tasyafarasya,sariayu_mt,2
tasyafarasya,somethincofficial,6
tasyafarasya,trueve.id,3
